Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
callgrind,mpicc,amg,amg1,64,1024,1,0.0,0.0,0.0,664727.9384765625
callgrind,mpicc,amg,amg1,64,1024,2,0.0,0.0,0.0,664738.599609375
callgrind,mpicc,amg,amg1,64,1024,3,0.0,0.0,0.0,664846.43359375
callgrind,mpicc,amg,amg2,64,1024,1,0.0,0.0,0.0,664727.6640625
callgrind,mpicc,amg,amg2,64,1024,2,0.0,0.0,0.0,664632.158203125
callgrind,mpicc,amg,amg2,64,1024,3,0.0,0.0,0.0,664691.611328125
callgrind,mpicc,amg,amg3,64,1024,1,0.0,0.0,0.0,663639.052734375
callgrind,mpicc,amg,amg3,64,1024,2,0.0,0.0,0.0,663689.86328125
callgrind,mpicc,amg,amg3,64,1024,3,0.0,0.0,0.0,663566.8916015625
callgrind,mpicc,amg,amg4,64,1024,1,0.0,0.0,0.0,663093.32421875
callgrind,mpicc,amg,amg4,64,1024,2,0.0,0.0,0.0,663045.9931640625
callgrind,mpicc,amg,amg4,64,1024,3,0.0,0.0,0.0,659228.904296875
callgrind,mpicc,hpgmg,fe,64,1024,1,0.0,0.0,0.0,790198.9931640625
callgrind,mpicc,hpgmg,fe,64,1024,2,0.0,0.0,0.0,790357.0009765625
callgrind,mpicc,hpgmg,fe,64,1024,3,0.0,0.0,0.0,789776.9248046875
callgrind,mpicc,hpgmg,fv1,64,1024,1,0.0,0.0,0.0,484424.046875
callgrind,mpicc,hpgmg,fv1,64,1024,2,0.0,0.0,0.0,484667.3505859375
callgrind,mpicc,hpgmg,fv1,64,1024,3,0.0,0.0,0.0,484607.03125
callgrind,mpicc,hpgmg,fv2,64,1024,1,0.0,0.0,0.0,491404.548828125
callgrind,mpicc,hpgmg,fv2,64,1024,2,0.0,0.0,0.0,491458.486328125
callgrind,mpicc,hpgmg,fv2,64,1024,3,0.0,0.0,0.0,491408.0869140625
callgrind,mpicc,hpgmg,fv3,64,1024,1,0.0,0.0,0.0,510795.32421875
callgrind,mpicc,hpgmg,fv3,64,1024,2,0.0,0.0,0.0,510967.9306640625
callgrind,mpicc,hpgmg,fv3,64,1024,3,0.0,0.0,0.0,510968.8251953125
callgrind,mpicc,nas,bt,64,1024,1,0.0,0.0,0.0,471698.67578125
callgrind,mpicc,nas,bt,64,1024,2,0.0,0.0,0.0,472035.0302734375
callgrind,mpicc,nas,bt,64,1024,3,0.0,0.0,0.0,472083.30859375
callgrind,mpicc,nas,cg,64,1024,1,0.0,0.0,0.0,449447.5341796875
callgrind,mpicc,nas,cg,64,1024,2,0.0,0.0,0.0,449455.8427734375
callgrind,mpicc,nas,cg,64,1024,3,0.0,0.0,0.0,449555.8896484375
callgrind,mpicc,nas,ep,64,1024,1,0.0,0.0,0.0,411338.2529296875
callgrind,mpicc,nas,ep,64,1024,2,0.0,0.0,0.0,411376.2109375
callgrind,mpicc,nas,ep,64,1024,3,0.0,0.0,0.0,411360.521484375
callgrind,mpicc,nas,ft,64,1024,1,0.0,0.0,0.0,466021.263671875
callgrind,mpicc,nas,ft,64,1024,2,0.0,0.0,0.0,465833.1435546875
callgrind,mpicc,nas,ft,64,1024,3,0.0,0.0,0.0,465775.513671875
callgrind,mpicc,nas,is,64,1024,1,0.0,0.0,0.0,439219.8759765625
callgrind,mpicc,nas,is,64,1024,2,0.0,0.0,0.0,439278.7392578125
callgrind,mpicc,nas,is,64,1024,3,0.0,0.0,0.0,439160.83984375
callgrind,mpicc,nas,lu,64,1024,1,0.0,0.0,0.0,481534.7666015625
callgrind,mpicc,nas,lu,64,1024,2,0.0,0.0,0.0,481436.40625
callgrind,mpicc,nas,lu,64,1024,3,0.0,0.0,0.0,481443.39453125
callgrind,mpicc,nas,mg,64,1024,1,0.0,0.0,0.0,481074.02734375
callgrind,mpicc,nas,mg,64,1024,2,0.0,0.0,0.0,481104.8447265625
callgrind,mpicc,nas,mg,64,1024,3,0.0,0.0,0.0,481196.583984375
callgrind,mpicc,nas,sp,64,1024,1,0.0,0.0,0.0,469130.5615234375
callgrind,mpicc,nas,sp,64,1024,2,0.0,0.0,0.0,468253.173828125
callgrind,mpicc,nas,sp,64,1024,3,0.0,0.0,0.0,468569.09375
callgrind,mpicc,pkifmm,ex0-1,64,1024,1,0.0,0.0,0.0,1420892.7294921875
callgrind,mpicc,pkifmm,ex0-1,64,1024,2,0.0,0.0,0.0,729.8037109375
callgrind,mpicc,pkifmm,ex0-1,64,1024,3,0.0,0.0,0.0,1400156.8203125
callgrind,mpicc,pkifmm,ex0-2,64,1024,1,0.0,0.0,0.0,688.822265625
callgrind,mpicc,pkifmm,ex0-2,64,1024,2,0.0,0.0,0.0,689.2197265625
callgrind,mpicc,pkifmm,ex0-2,64,1024,3,0.0,0.0,0.0,688.4462890625
callgrind,mpicc,pkifmm,ex1-1,64,1024,1,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex1-1,64,1024,2,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex1-1,64,1024,3,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex1-2,64,1024,1,0.0,0.0,0.0,688.3046875
callgrind,mpicc,pkifmm,ex1-2,64,1024,2,0.0,0.0,0.0,688.087890625
callgrind,mpicc,pkifmm,ex1-2,64,1024,3,0.0,0.0,0.0,688.5693359375
callgrind,mpicc,pkifmm,ex2-1,64,1024,1,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex2-1,64,1024,2,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex2-1,64,1024,3,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex2-2,64,1024,1,0.0,0.0,0.0,691.984375
callgrind,mpicc,pkifmm,ex2-2,64,1024,2,0.0,0.0,0.0,691.814453125
callgrind,mpicc,pkifmm,ex2-2,64,1024,3,0.0,0.0,0.0,692.1396484375
callgrind,mpicc,pkifmm,ex3-1,64,1024,1,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex3-1,64,1024,2,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex3-1,64,1024,3,0.0,0.0,0.0,0.0
callgrind,mpicc,pkifmm,ex3-2,64,1024,1,0.0,0.0,0.0,692.234375
callgrind,mpicc,pkifmm,ex3-2,64,1024,2,0.0,0.0,0.0,692.205078125
callgrind,mpicc,pkifmm,ex3-2,64,1024,3,0.0,0.0,0.0,692.796875
orig,mpicc,amg,amg1,64,1024,1,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg1,64,1024,2,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg1,64,1024,3,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg2,64,1024,1,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg2,64,1024,2,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg2,64,1024,3,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg3,64,1024,1,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg3,64,1024,2,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg3,64,1024,3,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg4,64,1024,1,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg4,64,1024,2,0.0,0.0,0.0,0.0
orig,mpicc,amg,amg4,64,1024,3,0.0,0.0,0.0,0.0
orig,tau,amg,amg1,64,1024,1,0.0,0.0,0.0,80637.09765625
orig,tau,amg,amg1,64,1024,2,0.0,0.0,0.0,80643.1083984375
orig,tau,amg,amg1,64,1024,3,0.0,0.0,0.0,80642.1884765625
orig,tau,amg,amg2,64,1024,1,0.0,0.0,0.0,80636.6748046875
orig,tau,amg,amg2,64,1024,2,0.0,0.0,0.0,80637.9697265625
orig,tau,amg,amg2,64,1024,3,0.0,0.0,0.0,80634.63671875
orig,tau,amg,amg3,64,1024,1,0.0,0.0,0.0,80646.1572265625
orig,tau,amg,amg3,64,1024,2,0.0,0.0,0.0,80642.52734375
orig,tau,amg,amg3,64,1024,3,0.0,0.0,0.0,80637.837890625
orig,tau,amg,amg4,64,1024,1,0.0,0.0,0.0,80635.2265625
orig,tau,amg,amg4,64,1024,2,0.0,0.0,0.0,80634.080078125
orig,tau,amg,amg4,64,1024,3,0.0,0.0,0.0,80639.1787109375
orig,mpicc,hpgmg,fe,64,1024,1,0.0,0.0,0.0,0.0
orig,mpicc,hpgmg,fe,64,1024,2,0.0,0.0,0.0,0.0
orig,mpicc,hpgmg,fe,64,1024,3,0.0,0.0,0.0,0.0
orig,mpicc,hpgmg,fv1,64,1024,1,0.0,0.0,0.0,0.0
